title,author,link,image
Taking a heli tour in Malaysia,Philippine Star,http://philstar.com/travel-and-tourism/2017/04/15/1690554/taking-heli-tour-malaysia,http://media.philstar.com/images/the-philippine-star/lifestyle/travel-and-tourism/20170415/helicopter-ride-kl.jpg
'Crising' poses threat to Samar,Philippine Star,http://philstar.com/nation/2017/04/15/1690563/crising-poses-threat-samar,http://media.philstar.com/images/crising-pagasa-track-saturday-2pm.png
Security tight in Maguindanao worship sites as Easter draws near ,Philippine Star,http://philstar.com/nation/2017/04/15/1690561/security-tight-maguindanao-worship-sites-easter-draws-near,http://media.philstar.com/images/the-philippine-star/lifestyle/arts-and-culture/20170410/PHILSTAR/HEADLINES/tagle.jpg
Guarding Bucks' Giannis presents Raptors a playoff puzzle,Philippine Star,http://philstar.com/sports/2017/04/15/1690562/guarding-bucks-giannis-presents-raptors-playoff-puzzle,http://media.philstar.com/images/the-philippine-star/sports/20170416/ps_giannis.jpeg
